"DateTime","Commits"
"2014-08-10 00:00:00",15
"2014-08-17 00:00:00",22
"2014-08-24 00:00:00",44
"2014-08-31 00:00:00",29
"2014-09-07 00:00:00",43
"2014-09-14 00:00:00",47
"2014-09-21 00:00:00",22
"2014-09-28 00:00:00",0
"2014-10-05 00:00:00",0
"2014-10-12 00:00:00",0
"2014-10-19 00:00:00",0
"2014-10-26 00:00:00",0
"2014-11-02 00:00:00",0
"2014-11-09 00:00:00",0
"2014-11-16 00:00:00",0
"2014-11-23 00:00:00",0
"2014-11-30 00:00:00",0
"2014-12-07 00:00:00",15
"2014-12-14 00:00:00",6
"2014-12-21 00:00:00",4
"2014-12-28 00:00:00",0
"2015-01-04 00:00:00",0
"2015-01-11 00:00:00",0
"2015-01-18 00:00:00",19
"2015-01-25 00:00:00",45
"2015-02-01 00:00:00",1
"2015-02-08 00:00:00",16
"2015-02-15 00:00:00",3
"2015-02-22 00:00:00",1
"2015-03-01 00:00:00",71
"2015-03-08 00:00:00",15
"2015-03-15 00:00:00",97
"2015-03-22 00:00:00",121
"2015-03-29 00:00:00",123
"2015-04-05 00:00:00",128
"2015-04-12 00:00:00",160
"2015-04-19 00:00:00",155
"2015-04-26 00:00:00",37
"2015-05-03 00:00:00",65
"2015-05-10 00:00:00",70
"2015-05-17 00:00:00",57
"2015-05-24 00:00:00",81
"2015-05-31 00:00:00",94
"2015-06-07 00:00:00",118
"2015-06-14 00:00:00",79
"2015-06-21 00:00:00",105
"2015-06-28 00:00:00",87
"2015-07-05 00:00:00",96
"2015-07-12 00:00:00",59
"2015-07-19 00:00:00",117
"2015-07-26 00:00:00",173
"2015-08-02 00:00:00",144
"2015-08-09 00:00:00",150
"2015-08-16 00:00:00",166
"2015-08-23 00:00:00",261
"2015-08-30 00:00:00",186
"2015-09-06 00:00:00",112
"2015-09-13 00:00:00",156
"2015-09-20 00:00:00",161
"2015-09-27 00:00:00",141
"2015-10-04 00:00:00",138
"2015-10-11 00:00:00",249
"2015-10-18 00:00:00",228
"2015-10-25 00:00:00",313
"2015-11-01 00:00:00",185
"2015-11-08 00:00:00",132
"2015-11-15 00:00:00",161
"2015-11-22 00:00:00",65
"2015-11-29 00:00:00",95
"2015-12-06 00:00:00",116
"2015-12-13 00:00:00",65
"2015-12-20 00:00:00",59
"2015-12-27 00:00:00",101
"2016-01-03 00:00:00",117
"2016-01-10 00:00:00",95
"2016-01-17 00:00:00",101
"2016-01-24 00:00:00",152
"2016-01-31 00:00:00",172
"2016-02-07 00:00:00",187
"2016-02-14 00:00:00",244
"2016-02-21 00:00:00",185
"2016-02-28 00:00:00",91
"2016-03-06 00:00:00",123
"2016-03-13 00:00:00",142
"2016-03-20 00:00:00",182
"2016-03-27 00:00:00",85
"2016-04-03 00:00:00",82
"2016-04-10 00:00:00",95
"2016-04-17 00:00:00",123
"2016-04-24 00:00:00",159
"2016-05-01 00:00:00",88
"2016-05-08 00:00:00",77
"2016-05-15 00:00:00",48
"2016-05-22 00:00:00",29
"2016-05-29 00:00:00",12
"2016-06-05 00:00:00",36
"2016-06-12 00:00:00",48
"2016-06-19 00:00:00",74
"2016-06-26 00:00:00",99
"2016-07-03 00:00:00",123
"2016-07-10 00:00:00",161
"2016-07-17 00:00:00",101
"2016-07-24 00:00:00",30
"2016-07-31 00:00:00",67
"2016-08-07 00:00:00",74
"2016-08-14 00:00:00",45
"2016-08-21 00:00:00",44
"2016-08-28 00:00:00",83
"2016-09-04 00:00:00",39
"2016-09-11 00:00:00",96
"2016-09-18 00:00:00",98
"2016-09-25 00:00:00",105
"2016-10-02 00:00:00",96
"2016-10-09 00:00:00",49
"2016-10-16 00:00:00",79
"2016-10-23 00:00:00",105
"2016-10-30 00:00:00",65
"2016-11-06 00:00:00",47
"2016-11-13 00:00:00",52
"2016-11-20 00:00:00",71
"2016-11-27 00:00:00",68
"2016-12-04 00:00:00",88
"2016-12-11 00:00:00",119
"2016-12-18 00:00:00",42
"2016-12-25 00:00:00",47
"2017-01-01 00:00:00",75
"2017-01-08 00:00:00",103
"2017-01-15 00:00:00",102
"2017-01-22 00:00:00",58
"2017-01-29 00:00:00",95
"2017-02-05 00:00:00",115
"2017-02-12 00:00:00",83
"2017-02-19 00:00:00",57
"2017-02-26 00:00:00",83
"2017-03-05 00:00:00",75
"2017-03-12 00:00:00",102
"2017-03-19 00:00:00",130
"2017-03-26 00:00:00",126
"2017-04-02 00:00:00",72
"2017-04-09 00:00:00",75
"2017-04-16 00:00:00",104
"2017-04-23 00:00:00",68
"2017-04-30 00:00:00",66
"2017-05-07 00:00:00",73
"2017-05-14 00:00:00",15
"2017-05-21 00:00:00",25
"2017-05-28 00:00:00",2
"2017-06-04 00:00:00",7
"2017-06-11 00:00:00",14
"2017-06-18 00:00:00",30
"2017-06-25 00:00:00",32
"2017-07-02 00:00:00",50
"2017-07-09 00:00:00",18
"2017-07-16 00:00:00",15
"2017-07-23 00:00:00",30
"2017-07-30 00:00:00",19
"2017-08-06 00:00:00",38
"2017-08-13 00:00:00",30
"2017-08-20 00:00:00",52
"2017-08-27 00:00:00",79
"2017-09-03 00:00:00",25
"2017-09-10 00:00:00",51
"2017-09-17 00:00:00",53
"2017-09-24 00:00:00",78
